vehicleId,vehicleType,arrDelay,depDelay,arrTime,depTime
veh_Bus_Line_2_dir_fwd_2, bus_type, 0.0, 28800.0, 12.0 ,28812.0
veh_Bus_Line_2_dir_bwd_2, bus_type, 0.0, 28800.0, 12.0 ,28812.0
veh_Bus_Line_3_dir_bwd_2, bus_type, 139.0, 28939.0, 139.0 ,28939.0
veh_Bus_Line_1_dir_bwd_2, bus_type, 140.0, 28940.0, 140.0 ,28940.0
veh_Bus_Line_3_dir_fwd_2, bus_type, 141.0, 28941.0, 144.0 ,28944.0
veh_Bus_Line_1_dir_fwd_2, bus_type, 142.0, 28942.0, 146.0 ,28946.0
veh_Bus_Line_2_dir_fwd_2, bus_type, 148.0, 28948.0, 161.0 ,28961.0
veh_Bus_Line_2_dir_bwd_2, bus_type, 148.0, 28948.0, 162.0 ,28962.0
veh_Bus_Line_3_dir_bwd_2, bus_type, 275.0, 29075.0, 279.0 ,29079.0
veh_Bus_Line_1_dir_bwd_2, bus_type, 276.0, 29076.0, 281.0 ,29081.0
veh_Bus_Line_3_dir_fwd_2, bus_type, 280.0, 29080.0, 285.0 ,29085.0
veh_Bus_Line_1_dir_fwd_2, bus_type, 282.0, 29082.0, 287.0 ,29087.0
veh_Bus_Line_2_dir_fwd_2, bus_type, 297.0, 29097.0, 309.0 ,29109.0
veh_Bus_Line_2_dir_bwd_2, bus_type, 298.0, 29098.0, 314.0 ,29114.0
veh_Bus_Line_3_dir_bwd_2, bus_type, 415.0, 29215.0, 415.0 ,29215.0
veh_Bus_Line_1_dir_bwd_2, bus_type, 417.0, 29217.0, 417.0 ,29217.0
veh_Bus_Line_3_dir_fwd_2, bus_type, 421.0, 29221.0, 426.0 ,29226.0
veh_Bus_Line_1_dir_fwd_2, bus_type, 423.0, 29223.0, 426.0 ,29226.0
veh_Bus_Line_2_dir_fwd_2, bus_type, 445.0, 29245.0, 465.0 ,29265.0
veh_Bus_Line_2_dir_bwd_2, bus_type, 450.0, 29250.0, 474.0 ,29274.0
veh_Bus_Line_3_dir_bwd_2, bus_type, 551.0, 29351.0, 554.0 ,29354.0
veh_Bus_Line_1_dir_bwd_2, bus_type, 553.0, 29353.0, 556.0 ,29356.0
veh_Bus_Line_3_dir_fwd_2, bus_type, 562.0, 29362.0, 562.0 ,29362.0
veh_Bus_Line_1_dir_fwd_2, bus_type, 562.0, 29362.0, 562.0 ,29362.0
veh_Bus_Line_2_dir_fwd_2, bus_type, 601.0, 29401.0, 606.0 ,29406.0
veh_Bus_Line_2_dir_bwd_2, bus_type, 610.0, 29410.0, 616.0 ,29416.0
veh_Bus_Line_3_dir_bwd_3, bus_type, 0.0, 32400.0, 8.0 ,32408.0
veh_Bus_Line_1_dir_fwd_3, bus_type, 0.0, 32400.0, 10.0 ,32410.0
veh_Bus_Line_3_dir_fwd_3, bus_type, 0.0, 32400.0, 11.0 ,32411.0
veh_Bus_Line_1_dir_bwd_3, bus_type, 0.0, 32400.0, 17.0 ,32417.0
veh_Bus_Line_2_dir_bwd_3, bus_type, 0.0, 32400.0, 18.0 ,32418.0
veh_Bus_Line_2_dir_fwd_3, bus_type, 0.0, 32400.0, 28.0 ,32428.0
veh_Bus_Line_3_dir_bwd_3, bus_type, 144.0, 32544.0, 148.0 ,32548.0
veh_Bus_Line_1_dir_fwd_3, bus_type, 146.0, 32546.0, 153.0 ,32553.0
veh_Bus_Line_3_dir_fwd_3, bus_type, 147.0, 32547.0, 153.0 ,32553.0
veh_Bus_Line_1_dir_bwd_3, bus_type, 153.0, 32553.0, 158.0 ,32558.0
veh_Bus_Line_2_dir_bwd_3, bus_type, 154.0, 32554.0, 163.0 ,32563.0
veh_Bus_Line_2_dir_fwd_3, bus_type, 164.0, 32564.0, 172.0 ,32572.0
veh_Bus_Line_3_dir_bwd_3, bus_type, 284.0, 32684.0, 287.0 ,32687.0
veh_Bus_Line_3_dir_fwd_3, bus_type, 289.0, 32689.0, 292.0 ,32692.0
veh_Bus_Line_1_dir_fwd_3, bus_type, 289.0, 32689.0, 293.0 ,32693.0
veh_Bus_Line_1_dir_bwd_3, bus_type, 294.0, 32694.0, 303.0 ,32703.0
veh_Bus_Line_2_dir_bwd_3, bus_type, 299.0, 32699.0, 306.0 ,32706.0
veh_Bus_Line_2_dir_fwd_3, bus_type, 308.0, 32708.0, 317.0 ,32717.0
veh_Bus_Line_3_dir_bwd_3, bus_type, 423.0, 32823.0, 429.0 ,32829.0
