iteration;avg_executed;avg_worst;avg_average;avg_best
0;41.70277480198661;41.70277480198661;41.70277480198661;41.70277480198661
1;65.26308740318062;41.69703089288638;53.48794263940242;65.27885438591854
2;65.27907225284163;41.69703089288638;53.48805157286397;65.27907225284163
