vehIdList,vehicleTypeList,mainMode,travelTime,OZone,DZone,actstart,actend,startTime
p_309,undefined,car,565.0,zone_5_26,zone_20_28,home,work,25200.0
p_281,undefined,car,565.0,zone_23_2,zone_21_25,home,work,25200.0
p_259,undefined,car,565.0,zone_0_5,zone_14_3,home,work,25200.0
p_236,undefined,car,565.0,zone_6_5,zone_26_11,home,work,25200.0
p_172,undefined,car,565.0,zone_21_28,zone_28_19,home,work,25200.0
p_452,undefined,car,572.0,zone_10_20,zone_9_8,home,work,25200.0
p_296,undefined,car,572.0,zone_20_8,zone_4_10,home,work,25200.0
p_280,undefined,car,572.0,zone_11_24,zone_27_12,home,work,25200.0
p_210,undefined,car,580.0,zone_16_5,zone_8_1,home,work,25200.0
p_20,undefined,car,587.0,zone_25_12,zone_20_6,home,work,25200.0
p_11,undefined,car,587.0,zone_11_24,zone_11_14,home,work,25200.0
p_200,undefined,car,594.0,zone_15_11,zone_19_22,home,work,25200.0
p_277,undefined,car,594.0,zone_14_20,zone_3_17,home,work,25200.0
p_174,undefined,car,601.0,zone_27_12,zone_19_15,home,work,25200.0
p_326,undefined,car,680.0,zone_19_15,zone_10_5,home,work,25200.0
p_99,undefined,car,680.0,zone_18_14,zone_6_4,home,work,25200.0
p_338,undefined,car,680.0,zone_22_5,zone_11_26,home,work,25200.0
p_171,undefined,car,680.0,zone_3_2,zone_28_9,home,work,25200.0
p_495,undefined,car,680.0,zone_9_19,zone_5_4,home,work,25200.0
p_365,undefined,car,680.0,zone_4_9,zone_22_3,home,work,25200.0
p_349,undefined,car,687.0,zone_3_19,zone_22_11,home,work,25200.0
p_320,undefined,car,687.0,zone_18_4,zone_7_22,home,work,25200.0
p_43,undefined,car,687.0,zone_20_10,zone_12_25,home,work,25200.0
p_404,undefined,car,687.0,zone_16_12,zone_7_4,home,work,25200.0
p_492,undefined,car,687.0,zone_24_20,zone_28_8,home,work,25200.0
p_294,undefined,car,687.0,zone_6_8,zone_21_4,home,work,25200.0
p_385,undefined,car,687.0,zone_11_4,zone_28_23,home,work,25200.0
p_387,undefined,car,694.0,zone_2_7,zone_17_25,home,work,25200.0
p_157,undefined,car,694.0,zone_10_0,zone_9_17,home,work,25200.0
p_79,undefined,car,694.0,zone_12_22,zone_23_9,home,work,25200.0
p_13,undefined,car,694.0,zone_15_1,zone_13_24,home,work,25200.0
p_166,undefined,car,694.0,zone_26_5,zone_10_3,home,work,25200.0
p_83,undefined,car,694.0,zone_25_18,zone_24_4,home,work,25200.0
p_190,undefined,car,694.0,zone_28_0,zone_20_21,home,work,25200.0
p_400,undefined,car,701.0,zone_8_20,zone_16_6,home,work,25200.0
p_135,undefined,car,701.0,zone_16_23,zone_12_12,home,work,25200.0
p_186,undefined,car,701.0,zone_10_6,zone_22_28,home,work,25200.0
p_219,undefined,car,708.0,zone_25_9,zone_19_23,home,work,25200.0
p_293,undefined,car,716.0,zone_7_21,zone_28_12,home,work,25200.0
p_235,undefined,car,716.0,zone_22_7,zone_0_12,home,work,25200.0
p_406,undefined,car,716.0,zone_16_20,zone_14_2,home,work,25200.0
p_243,undefined,car,723.0,zone_11_14,zone_12_1,home,work,25200.0
p_19,undefined,car,730.0,zone_5_22,zone_20_15,home,work,25200.0
p_12,undefined,car,737.0,zone_12_15,zone_11_0,home,work,25200.0
p_312,undefined,car,816.0,zone_29_21,zone_10_13,home,work,25200.0
p_31,undefined,car,816.0,zone_16_28,zone_27_0,home,work,25200.0
p_448,undefined,car,816.0,zone_7_22,zone_28_13,home,work,25200.0
p_53,undefined,car,816.0,zone_0_14,zone_28_20,home,work,25200.0
p_411,undefined,car,830.0,zone_19_8,zone_4_1,home,work,25200.0
p_489,undefined,car,830.0,zone_0_1,zone_28_1,home,work,25200.0
p_199,undefined,car,837.0,zone_2_27,zone_10_8,home,work,25200.0
p_45,undefined,car,837.0,zone_19_13,zone_9_29,home,work,25200.0
p_263,undefined,car,837.0,zone_6_4,zone_1_29,home,work,25200.0
p_3,undefined,car,851.0,zone_17_4,zone_19_27,home,work,25200.0
p_240,undefined,car,852.0,zone_5_27,zone_26_14,home,work,25200.0
p_122,undefined,car,859.0,zone_20_4,zone_12_23,home,work,25200.0
p_104,undefined,car,859.0,zone_6_29,zone_5_6,home,work,25200.0
p_181,undefined,car,888.0,zone_8_22,zone_14_5,home,work,25200.0
p_353,undefined,car,952.0,zone_10_0,zone_11_29,home,work,25200.0
p_218,undefined,car,952.0,zone_24_7,zone_11_21,home,work,25200.0
p_208,undefined,car,952.0,zone_19_21,zone_1_7,home,work,25200.0
