person_id,vehicle_id
p_175,veh_Bus_Line_1_dir_bwd_3
p_289,veh_Bus_Line_2_dir_fwd_3
p_226,veh_Bus_Line_2_dir_bwd_3
p_211,veh_Bus_Line_1_dir_bwd_3
p_425,veh_Bus_Line_2_dir_fwd_3
p_313,veh_Bus_Line_2_dir_bwd_3
p_314,veh_Bus_Line_1_dir_bwd_3
p_408,veh_Bus_Line_2_dir_fwd_3
p_52,veh_Bus_Line_2_dir_bwd_3
p_369,veh_Bus_Line_1_dir_bwd_3
p_357,veh_Bus_Line_2_dir_fwd_3
p_329,veh_Bus_Line_2_dir_bwd_3
p_403,veh_Bus_Line_1_dir_bwd_3
p_423,veh_Bus_Line_2_dir_fwd_3
p_341,veh_Bus_Line_2_dir_bwd_3
p_183,veh_Bus_Line_2_dir_fwd_3
p_67,veh_Bus_Line_2_dir_fwd_3
p_249,veh_Bus_Line_2_dir_fwd_3
p_475,veh_Bus_Line_2_dir_fwd_3
p_160,veh_Bus_Line_2_dir_fwd_3
p_457,veh_Bus_Line_2_dir_fwd_3
p_276,veh_Bus_Line_2_dir_fwd_3
p_323,veh_Bus_Line_2_dir_fwd_3
p_34,veh_Bus_Line_2_dir_fwd_3
p_119,veh_Bus_Line_2_dir_fwd_3
p_72,veh_Bus_Line_3_dir_fwd_3
p_435,veh_Bus_Line_2_dir_bwd_3
p_26,veh_Bus_Line_2_dir_bwd_3
p_60,veh_Bus_Line_2_dir_bwd_3
p_96,veh_Bus_Line_2_dir_fwd_3
p_446,veh_Bus_Line_2_dir_bwd_3
p_128,veh_Bus_Line_2_dir_fwd_3
p_207,veh_Bus_Line_2_dir_fwd_3
p_247,veh_Bus_Line_3_dir_bwd_3
p_147,veh_Bus_Line_3_dir_bwd_3
p_192,veh_Bus_Line_1_dir_bwd_3
p_342,veh_Bus_Line_2_dir_fwd_3
p_103,veh_Bus_Line_2_dir_fwd_3
p_242,veh_Bus_Line_3_dir_fwd_4
p_163,veh_Bus_Line_3_dir_bwd_4
p_330,veh_Bus_Line_2_dir_fwd_4
p_77,veh_Bus_Line_2_dir_bwd_4
p_494,veh_Bus_Line_1_dir_fwd_4
p_1,veh_Bus_Line_1_dir_bwd_4
p_260,veh_Bus_Line_3_dir_fwd_4
p_399,veh_Bus_Line_3_dir_bwd_4
p_386,veh_Bus_Line_2_dir_fwd_4
p_69,veh_Bus_Line_2_dir_bwd_4
p_15,veh_Bus_Line_1_dir_fwd_4
p_396,veh_Bus_Line_1_dir_bwd_4
p_71,veh_Bus_Line_3_dir_fwd_4
p_393,veh_Bus_Line_3_dir_bwd_4
p_156,veh_Bus_Line_2_dir_fwd_4
p_375,veh_Bus_Line_2_dir_bwd_4
p_143,veh_Bus_Line_1_dir_fwd_4
p_440,veh_Bus_Line_1_dir_bwd_4
p_361,veh_Bus_Line_3_dir_fwd_4
p_496,veh_Bus_Line_3_dir_bwd_4
p_311,veh_Bus_Line_2_dir_fwd_4
p_146,veh_Bus_Line_2_dir_bwd_4
p_231,veh_Bus_Line_1_dir_fwd_4
p_107,veh_Bus_Line_1_dir_bwd_4
p_74,veh_Bus_Line_2_dir_fwd_4
p_224,veh_Bus_Line_2_dir_bwd_4
p_490,veh_Bus_Line_1_dir_fwd_4
p_185,veh_Bus_Line_1_dir_bwd_4
p_498,veh_Bus_Line_2_dir_fwd_4
p_410,veh_Bus_Line_2_dir_bwd_4
p_461,veh_Bus_Line_1_dir_fwd_4
p_421,veh_Bus_Line_1_dir_bwd_4
p_429,veh_Bus_Line_2_dir_fwd_4
p_351,veh_Bus_Line_2_dir_bwd_4
p_324,veh_Bus_Line_2_dir_fwd_4
p_2,veh_Bus_Line_2_dir_bwd_4
p_168,veh_Bus_Line_2_dir_fwd_4
p_394,veh_Bus_Line_2_dir_bwd_4
p_215,veh_Bus_Line_2_dir_fwd_4
p_120,veh_Bus_Line_2_dir_bwd_4
p_164,veh_Bus_Line_2_dir_fwd_4
p_142,veh_Bus_Line_2_dir_bwd_4
p_370,veh_Bus_Line_2_dir_fwd_4
