vehIdList,vehicleTypeList,mainMode,startTime,travelTime
veh_Bus_Line_2_dir_fwd_2,bus_type,pt,25200.0,5149.0
veh_Train_Line_1_dir_fwd_2,train_type,pt,25200.0,5247.0
veh_Bus_Line_2_dir_fwd_2,bus_type,pt,25200.0,5308.0
veh_Bus_Line_1_dir_fwd_2,bus_type,pt,25200.0,5321.0
veh_Tram_Line_1_dir_bwd_2,tram_type,pt,25200.0,5329.0
veh_Bus_Line_1_dir_fwd_2,bus_type,pt,25200.0,5429.0
veh_Train_Line_1_dir_bwd_2,train_type,pt,25200.0,5450.0
veh_Train_Line_1_dir_bwd_2,train_type,pt,25200.0,5464.0
veh_Train_Line_1_dir_fwd_2,train_type,pt,25200.0,5536.0
veh_Train_Line_1_dir_bwd_2,train_type,pt,25200.0,5577.0
veh_Train_Line_1_dir_bwd_2,train_type,pt,25200.0,5641.0
veh_Tram_Line_1_dir_bwd_2;veh_Bus_Line_2_dir_bwd_2,tram_type;bus_type,pt,25200.0,5665.0
veh_Bus_Line_2_dir_fwd_2,bus_type,pt,25200.0,5726.0
veh_Bus_Line_1_dir_fwd_2,bus_type,pt,25200.0,5814.0
veh_Bus_Line_2_dir_bwd_2,bus_type,pt,25200.0,5821.0
veh_Bus_Line_2_dir_bwd_2,bus_type,pt,25200.0,5825.0
veh_Bus_Line_2_dir_fwd_2,bus_type,pt,25200.0,5828.0
veh_Bus_Line_2_dir_fwd_2,bus_type,pt,25200.0,5941.0
veh_Tram_Line_1_dir_bwd_2,tram_type,pt,25200.0,5982.0
veh_Bus_Line_2_dir_bwd_2,bus_type,pt,25200.0,6067.0
veh_Bus_Line_3_dir_fwd_2,bus_type,pt,25200.0,6121.0
veh_Bus_Line_1_dir_bwd_2,bus_type,pt,25200.0,6178.0
veh_Tram_Line_1_dir_bwd_2,tram_type,pt,25200.0,6272.0
veh_Tram_Line_1_dir_bwd_2,tram_type,pt,25200.0,6294.0
veh_Tram_Line_1_dir_bwd_2,tram_type,pt,25200.0,6339.0
veh_Bus_Line_2_dir_bwd_2,bus_type,pt,25200.0,6351.0
veh_Train_Line_1_dir_fwd_2,train_type,pt,25200.0,6384.0
veh_Tram_Line_1_dir_fwd_2,tram_type,pt,25200.0,6470.0
veh_Bus_Line_1_dir_bwd_2,bus_type,pt,25200.0,6483.0
veh_Bus_Line_2_dir_fwd_2,bus_type,pt,25200.0,6506.0
veh_Bus_Line_3_dir_fwd_2,bus_type,pt,25200.0,6612.0
veh_Train_Line_1_dir_bwd_2,train_type,pt,25200.0,6616.0
veh_Bus_Line_2_dir_bwd_2,bus_type,pt,25200.0,6660.0
veh_Tram_Line_1_dir_bwd_2,tram_type,pt,25200.0,6698.0
veh_Bus_Line_3_dir_fwd_2,bus_type,pt,25200.0,6755.0
veh_Bus_Line_3_dir_bwd_2,bus_type,pt,25200.0,6775.0
veh_Bus_Line_2_dir_bwd_2,bus_type,pt,25200.0,6787.0
veh_Bus_Line_2_dir_fwd_2,bus_type,pt,25200.0,7090.0
veh_Bus_Line_1_dir_fwd_2,bus_type,pt,25200.0,7097.0
veh_Bus_Line_2_dir_bwd_2,bus_type,pt,25200.0,7208.0
veh_Train_Line_1_dir_bwd_2,train_type,pt,25200.0,7277.0
veh_Bus_Line_2_dir_fwd_2,bus_type,pt,25200.0,7343.0
veh_Train_Line_1_dir_bwd_2;veh_Bus_Line_2_dir_fwd_2,train_type;bus_type,pt,25200.0,7692.0
veh_Bus_Line_2_dir_fwd_3,bus_type,pt,25200.0,7715.0
veh_Bus_Line_2_dir_bwd_2,bus_type,pt,25200.0,7816.0
veh_Train_Line_1_dir_bwd_3,train_type,pt,25200.0,7872.0
veh_Bus_Line_3_dir_fwd_2,bus_type,pt,25200.0,7915.0
veh_Bus_Line_1_dir_bwd_2,bus_type,pt,25200.0,7945.0
veh_Bus_Line_2_dir_fwd_2;veh_Train_Line_1_dir_bwd_3,bus_type;train_type,pt,25200.0,7950.0
veh_Tram_Line_1_dir_fwd_2;veh_Bus_Line_2_dir_fwd_3,tram_type;bus_type,pt,25200.0,8034.0
veh_Tram_Line_1_dir_fwd_2;veh_Bus_Line_3_dir_fwd_3,tram_type;bus_type,pt,25200.0,8223.0
veh_Tram_Line_1_dir_fwd_2;veh_Bus_Line_2_dir_fwd_3,tram_type;bus_type,pt,25200.0,8326.0
veh_Tram_Line_1_dir_fwd_2;veh_Bus_Line_3_dir_fwd_3,tram_type;bus_type,pt,25200.0,8387.0
veh_Bus_Line_2_dir_bwd_2;veh_Tram_Line_1_dir_bwd_3,bus_type;tram_type,pt,25200.0,8398.0
veh_Bus_Line_2_dir_fwd_2;veh_Train_Line_1_dir_bwd_3,bus_type;train_type,pt,25200.0,8399.0
